,Tag,Label
0,Accomplishment,accmp
1,Achievement,ach
2,Activity,acty
3,Atelic,atel
4,Durative,dur
5,Dynamic,dyn
6,Punctual,pct
7,Semelfactive,semel
8,Stative,stat
9,Telic,tel
10,Animate,anim
11,Human,hum
12,Inanimate,inan
13,Non-human,nhum
14,Habitual,hab
15,Imperfective,ipfv
16,Iterative,iter
17,Perfective,pfv
18,Perfect,prf
19,Progressive,prog
20,Prospective,prosp
21,Ablative,abl
22,Absolutive,abs
23,Accusative,acc
24,Allative,all
25,"Near, in front of",ante
26,Approximative,apprx
27,Next to,apud
28,At,at
29,Aversive,avr
30,Benefactive,ben
31,Essive-modal,byway
32,Near,circ
33,Comitative,com
34,Comparative,compv
35,Dative,dat
36,Equative,eqtv
37,Ergative,erg
38,Essive,ess
39,Formal,frml
40,Genitive,gen
41,In,in
42,Instrumental,ins
43,Among,inter
44,Nominative,nom
45,"Nominative, S-only",noms
46,On,on
47,On (horizontal),onhr
48,On (vertical),onvr
49,Behind,post
50,Privative,priv
51,Prolative/translative,prol
52,Proprietive,propr
53,Proximate,prox
54,Purposive,prp
55,Partitive,prt
56,Relative,rel
57,Distal,rem
58,Under,sub
59,Terminative,term
60,Translative,trans
61,Versative,vers
62,Vocative,voc
63,Absolute,ab
64,Comparative,cmpr
65,Equative,eqt
66,Relative,rl
67,Superlative,sprl
68,Definite,def
69,Indefinite,indf
70,Non-Specific,nspec
71,Specific,spec
72,Above,abv
73,Below,bel
74,Even,even
75,Medial,med
76,"No Reference Point, Distal",noref
77,Invisible,nvis
78,"Phoric, situated in discourse",phor
79,Proximate,prox
80,First Person Reference Point,ref1
81,Second Person Reference Point,ref2
82,Remote,remt
83,Visible,vis
84,Assumed,assum
85,Auditory,aud
86,Direct,drct
87,Firsthand,fh
88,Hearsay,hrsy
89,Inferred,infer
90,Non-firsthand,nfh
91,Non-visual sensory,nvsen
92,Quotative,quot
93,Reported,rprt
94,Sensory,sen
95,Finite,fin
96,Nonfinite,nfin
97,Bantu Noun Classes,bantu1-23
98,Feminine,fem
99,Masculine,masc
